,onsets,minutes_seconds,offsets,ls,ls_binary
412,824000,13:44,826000,yes,1
413,826000,13:46,828000,yes,1
414,828000,13:48,830000,yes,1
415,830000,13:50,832000,no,0
416,832000,13:52,834000,no,0
417,834000,13:54,836000,yes,1
418,836000,13:56,838000,yes,1
419,838000,13:58,840000,no,0
420,840000,14:00,842000,yes,1
421,842000,14:02,844000,no,0
422,844000,14:04,846000,yes,1
423,846000,14:06,848000,yes,1
424,848000,14:08,850000,yes,1
425,850000,14:10,852000,yes,1
426,852000,14:12,854000,no,0
427,854000,14:14,856000,no,0
428,856000,14:16,858000,yes,1
429,858000,14:18,860000,yes,1
430,860000,14:20,862000,no,0
431,862000,14:22,864000,no,0
432,864000,14:24,866000,no,0
433,866000,14:26,868000,no,0
434,868000,14:28,870000,no,0
435,870000,14:30,872000,yes,1
436,872000,14:32,874000,yes,1
437,874000,14:34,876000,yes,1
438,876000,14:36,878000,no,0
439,878000,14:38,880000,no,0
440,880000,14:40,881327,no,0
