episode,n_matched,energy_laugh,energy_nolaugh,base_laugh_rTPJ,base_nolaugh_rTPJ,match_laugh_rTPJ,match_nolaugh_rTPJ,base_laugh_visual_cortex,base_nolaugh_visual_cortex,match_laugh_visual_cortex,match_nolaugh_visual_cortex,base_laugh_auditory_cortex,base_nolaugh_auditory_cortex,match_laugh_auditory_cortex,match_nolaugh_auditory_cortex
s01e22a,215,-22.191197962246093,-25.38551887364912,0.06610656825303193,0.15012435686601153,0.05487065189280844,0.09268869066518994,0.418890977267878,0.4826131970350504,0.4393547255493677,0.4252980196496651,0.25048654105173584,0.2285130883462575,0.24374713157560504,0.19786513324237642
s01e22b,201,-22.399273444339645,-24.31474259037003,0.20490070434683336,0.2156892596551292,0.19670727503130536,0.22349824287246745,0.5149014037022516,0.4025377638524528,0.46024672460487165,0.4074653802712771,0.26364078802097174,0.3230110261382359,0.25870357515436776,0.2874617100822839
s01e23a,217,-23.307109122052758,-24.317580338657116,0.21659941819997375,0.3244364719941717,0.23826045500988227,0.31527143720602135,0.41922731416248804,0.5251844537448845,0.46037866676360695,0.5266258463445398,0.21630182346295398,0.20727703019497123,0.23175537245735903,0.21465834288527408
s01e23b,213,-25.660089043689315,-27.275609269101352,0.16313519078156144,0.14024643164562692,0.15081387737792332,0.1277411228315998,0.47020413045335935,0.3400971889532584,0.4489185759414582,0.3368126840962821,0.2010845468682212,0.2476933642846388,0.22586378521591088,0.23204450840615062
s01e24a,235,-24.491050351309223,-26.45121440471438,0.16143445081701072,0.13442631333284374,0.15051697060160982,0.13881170737330586,0.30975298842709703,0.4314447197609724,0.3114572010098117,0.435153210516588,0.16453385976072052,0.1707578599047674,0.13898766543466934,0.15501712795318767
s01e24b,231,-23.460910710420826,-25.494776060208974,0.22951757461084052,0.23324355897806157,0.23820404654703112,0.2022931154194247,0.4813651557083806,0.538653334650179,0.4826380965835056,0.46215822324842953,0.22116861106002259,0.21475764239412162,0.1912019488854695,0.16257720204471238
s02e01a,209,-24.484501499956128,-27.557374670311553,0.3861342593903905,0.12031232521652217,0.353575029370301,0.11209208875713787,0.3245853367231759,0.49040698566053376,0.31768790983179124,0.45991930652917096,0.226784189366234,0.23466403180459364,0.22319220754478128,0.22222316774004805
s02e01b,221,-25.279030799313205,-26.54258010461677,0.14060704072965516,0.1948961226596133,0.13617039848878695,0.2121115187599397,0.31869786737532546,0.3336545580083299,0.28872844617673427,0.305903131962018,0.294155430670383,0.32303912660481654,0.25637331373979333,0.3065593610526911
s02e02a,164,-25.341475349462687,-26.34685315641352,0.1492049388769868,0.17565268641989407,0.14434473245907967,0.17590810652160202,0.49394709775771534,0.4640898460563598,0.44962181575561155,0.4632796027167048,0.22210201276389263,0.1279143314678403,0.21221867228404626,0.12631096299435224
s02e02b,181,-24.317599200946905,-27.280707785985086,0.1335461590046301,0.07439106710383202,0.1030076390845876,0.11136664947083981,0.43289339436684443,0.38706626969685026,0.34426014426210677,0.3741963767431777,0.20374644676199838,0.3509288102268798,0.18326657211959627,0.3056620756387661
s02e03a,236,-26.736307637292303,-25.50071274763993,0.1462910965100517,0.21284778908003155,0.15161502347088163,0.20206662942892498,0.3993615989048925,0.42700775647383904,0.37198515618417893,0.43014488392285855,0.21954726489276064,0.1588180028045503,0.20387020433523848,0.14529098278816524
s02e03b,218,-25.018110120359786,-25.699718507765112,0.15644194513096404,0.09346958851331288,0.15499224022415967,0.08997039916454784,0.3519014183899138,0.45183245863129545,0.33361470933932275,0.4453368075776479,0.25991792746342984,0.21828036367753426,0.26881218589488043,0.20186029920754467
s02e04a,230,-26.87482692202805,-26.702660750528487,0.1951966564568541,0.20307086135539912,0.18466918041976463,0.2032030878907488,0.37544479269172076,0.4005043597697892,0.3475890804847798,0.4013504083145906,0.28915218866514175,0.23134467995494357,0.2385510144622611,0.23206533105267638
s02e04b,167,-25.13384456493082,-28.81543527491462,0.0710892943266659,0.11865464043473818,0.1416466697664069,0.11396555375774392,0.47920850102378504,0.3891171525489596,0.4695540194496341,0.3739456814437599,0.22929472324469713,0.25294344136155483,0.24058411087337483,0.20205566971251576
s02e05a,236,-26.264646257743777,-26.84206463939641,0.18885624026528527,0.17812863071934207,0.18697321756704244,0.1600817868093094,0.36800608979035815,0.3635391881014392,0.3664741109179029,0.3658608098021558,0.286423376090465,0.2426288779347736,0.27367373398630557,0.23929695109667182
s02e05b,192,-24.92726450301025,-27.222373121546337,0.12947884183292743,0.17945740463690826,0.1362384296577895,0.16165744805643437,0.4215171987238792,0.4944305376153694,0.4483138054553429,0.4624228934959433,0.1885580053460707,0.306837430816099,0.22587890831333182,0.21889782036610128
s02e06a,203,-23.579218588957712,-24.998909576922223,0.31171344460703737,0.25343327826857004,0.29026941149940416,0.22819832433528117,0.4795546739500909,0.41877940332131347,0.45584545252589864,0.3853345873665383,0.19157551777449214,0.14809832742941018,0.1857816095704806,0.13704779922174012
s02e06b,246,-23.290265785232275,-22.35958361022366,0.17894899755187502,0.11435557132113806,0.17960789425356385,0.1208295973372423,0.3425822918318149,0.3004345249359777,0.3432391761399452,0.3182535426630581,0.16353323258969504,0.24283653523136042,0.1676330256029462,0.24507372735015834
s02e07a,249,-25.772820062085486,-26.65863302256366,0.3142625749517736,0.2722181422866176,0.2985729727405209,0.2729450342785691,0.346618880430545,0.4386450998205596,0.3428342095007504,0.4358691687175183,0.33197337756770445,0.26380969369615603,0.3128471176330705,0.25485222835383214
s02e07b,184,-25.511319773949243,-27.909348765787783,0.20465445242540392,0.23517436407452622,0.2078287287523762,0.25106811872914475,0.5200487711134025,0.4689674091600036,0.5206587021627327,0.4355427433567131,0.23565177166961615,0.3050033794877392,0.23753434896165915,0.1909716971062575
s02e08a,207,-25.809277238915573,-25.236230328012606,0.12048227111576103,0.1894877694471755,0.12168661996351715,0.18882121395357568,0.44421253660577964,0.4488401848313912,0.393214916199492,0.4568951901753843,0.2293930769221313,0.1989476952786419,0.21246696625439712,0.19913408591992657
s02e08b,206,-24.929368233038755,-24.99992404549318,0.29113916104968474,0.2710229388391013,0.2794575952011896,0.31743339969814277,0.36094613821708416,0.4327944686100585,0.3451305634187418,0.4309239071733197,0.3094499808096207,0.33060536270207236,0.2856773934023858,0.27589728011504094
s02e09a,216,-25.963385889397138,-25.686346404881444,0.012474389419331246,0.08838187990320341,0.025710633823619017,0.09249439658166299,0.4998384493066659,0.5084473037971844,0.43489014100936324,0.5084138785583707,0.28273315080192835,0.19441743213141782,0.2812270465624905,0.17920304298209025
s02e09b,226,-24.007159403802298,-24.150743017596984,0.25025630790191045,0.1678427417161745,0.2308068751297153,0.17492339512695057,0.29555312953803764,0.4434496281831449,0.2515661034525883,0.4293661828126742,0.14649535258526442,0.25407707107517047,0.1625483103150607,0.24638508129270972
s02e10a,240,-25.274280295689373,-23.554039286262594,0.142821181925019,0.11409175070505113,0.12960768441587595,0.1390345281755939,0.39837516177991406,0.46189309883510843,0.323852638141283,0.4421496005658365,0.27651152993148803,0.24377325741975275,0.2546499565181624,0.24055090048919517
s02e10b,221,-23.673398258692377,-23.977940468364473,0.13026741180979218,0.07509594637839671,0.0922260703451692,0.03314493911285415,0.3797981438144036,0.5473143512845949,0.3170494099495111,0.5014459615594439,0.15123179263197117,0.14208614030142191,0.1304546806459805,0.09544755478200755
s02e11a,245,-22.771899361975724,-23.301270847293633,0.1587664086277414,0.06787558067203298,0.1608090957836909,0.08487220947238826,0.4266014536732842,0.40446055905912964,0.388764738294843,0.39897241807652595,0.26011592345836765,0.2569584406578543,0.2518750699333083,0.24246794753243536
