episode,n_matched,energy_laugh,energy_nolaugh,base_laugh_rTPJ,base_nolaugh_rTPJ,match_laugh_rTPJ,match_nolaugh_rTPJ,base_laugh_visual_cortex,base_nolaugh_visual_cortex,match_laugh_visual_cortex,match_nolaugh_visual_cortex,base_laugh_auditory_cortex,base_nolaugh_auditory_cortex,match_laugh_auditory_cortex,match_nolaugh_auditory_cortex
s01e22a,222,10.818383413048114,10.505819380543638,0.06610656825303193,0.15012435686601153,0.07809633677866618,0.15884430119703158,0.418890977267878,0.4826131970350504,0.3946569485055064,0.44612789856907203,0.25048654105173584,0.2285130883462575,0.23151197444993868,0.21457377287947219
s01e22b,217,10.514507925202107,10.596340190936631,0.20490070434683336,0.2156892596551292,0.21759878787957235,0.21785786139008656,0.5149014037022516,0.4025377638524528,0.5171896373368502,0.4028845892165174,0.26364078802097174,0.3230110261382359,0.27871914657114855,0.323001815527116
s01e23a,215,11.079912171447486,10.327684611880354,0.21659941819997375,0.3244364719941717,0.22044552011293095,0.331168085612712,0.41922731416248804,0.5251844537448845,0.40914311789425123,0.523252670239386,0.21630182346295398,0.20727703019497123,0.2102246984512719,0.19381014051944467
s01e23b,207,8.604060616913964,7.295406333542624,0.16313519078156144,0.14024643164562692,0.1294900862233391,0.14745666313548475,0.47020413045335935,0.3400971889532584,0.40921366560332645,0.336538021640266,0.2010845468682212,0.2476933642846388,0.24012329357201226,0.2688357632535742
s01e24a,241,11.57473343849182,10.71390676498413,0.16143445081701072,0.13442631333284374,0.12450575973609301,0.13799999068355104,0.30975298842709703,0.4314447197609724,0.29389008824221813,0.42891556885211646,0.16453385976072052,0.1707578599047674,0.1291234482295505,0.17175774920882766
s01e24b,241,9.509726680700595,12.721887589825524,0.22951757461084052,0.23324355897806157,0.23728835172689497,0.24033354865346968,0.4813651557083806,0.538653334650179,0.48273892096691856,0.46742506793660715,0.22116861106002259,0.21475764239412162,0.21874822696618623,0.1896590228786862
s02e01a,211,13.199115573532051,12.510798639474913,0.3861342593903905,0.12031232521652217,0.4080526301781384,0.11025530455857126,0.3245853367231759,0.49040698566053376,0.3110359456617011,0.4544676347170478,0.226784189366234,0.23466403180459364,0.2217957965564377,0.21562464822004265
s02e01b,213,11.878637754537843,10.66190042122892,0.14060704072965516,0.1948961226596133,0.16808719769851102,0.20598936027206413,0.31869786737532546,0.3336545580083299,0.33503274592024507,0.335031694889417,0.294155430670383,0.32303912660481654,0.2740686650986741,0.33075470126373235
s02e02a,167,13.762117715612534,14.287829827405735,0.1492049388769868,0.17565268641989407,0.170906575473423,0.17565268641989407,0.49394709775771534,0.4640898460563598,0.47399430409177934,0.4640898460563598,0.22210201276389263,0.1279143314678403,0.2413962110889258,0.1279143314678403
s02e02b,213,10.894325764821126,10.45142998159192,0.1335461590046301,0.07439106710383202,0.11082522767252985,0.06795345273239195,0.43289339436684443,0.38706626969685026,0.3968798503752196,0.38739387639202044,0.20374644676199838,0.3509288102268798,0.210853315175489,0.34579594726326285
s02e03a,225,9.090777347326279,8.44973518451055,0.1462910965100517,0.21284778908003155,0.14627866742280127,0.21261564920626908,0.3993615989048925,0.42700775647383904,0.3663140772706604,0.41381130613492073,0.21954726489276064,0.1588180028045503,0.24474069128008583,0.1518416345210547
s02e03b,218,10.803026174705836,10.537318186305376,0.15644194513096404,0.09346958851331288,0.16684636113975396,0.09071315761903272,0.3519014183899138,0.45183245863129545,0.3151038173829136,0.44948052213273254,0.25991792746342984,0.21828036367753426,0.23266479057319775,0.2002134756513276
s02e04a,203,10.60078260824628,11.945351065495313,0.1951966564568541,0.20307086135539912,0.21063422458494027,0.17748806187615676,0.37544479269172076,0.4005043597697892,0.33492178059008043,0.4046483463462927,0.28915218866514175,0.23134467995494357,0.26705549862510136,0.260670533046049
