episode,season,category,beta_rTPJ,beta_visual_cortex,beta_auditory_cortex,beta_dorsal_striatum
s02e11a,2,Logic,0.47917389271358674,0.6269281792098758,-0.4041750987448277,0.36405209848157916
s02e11a,2,Identity,1.1526929684867084,0.14667917613867157,-0.5056799725139234,0.3745204890211705
s02e11b,2,Language,0.4794628969649148,0.431340811426186,-0.0793746924346568,0.2136096101912529
s02e11b,2,Logic,0.30485535265513203,0.47527278893360353,-0.5098117620234105,0.2049609538567101
s02e11b,2,Identity,-0.4732875733392006,-0.12453952700127893,-0.7936690678454057,-0.3000564028677474
s02e12a,2,Language,-0.42171083285778727,-0.118641676949211,-0.62313189006868,0.4205155297940314
s02e12a,2,Logic,0.26691185568490783,0.5110902164337838,0.20147010897449072,0.27420215420297755
s02e12a,2,Identity,-1.0920941986992228,-0.8330891463923578,-0.7569849073823741,-0.11027044508872777
s02e12b,2,Language,0.16485550062965765,-0.0826055399729459,-0.3371421868662895,-0.04097291099061148
s02e12b,2,Logic,0.213284105264065,0.2860566592394971,-0.12138083545308824,0.26020889547409803
s02e13a,2,Language,0.03512407588267122,0.4706610602475817,-0.8397631923351566,0.1238925020884876
s02e13a,2,Logic,-0.31692037070854007,0.6394782896390576,-0.8542721375546412,-0.028529527737482296
s02e13a,2,Identity,1.1851027054746803,1.8426532411063472,-0.4470774926802137,0.42841543785747993
s02e13b,2,Language,0.011020812880779059,0.42342447526052573,-0.10630868421077813,0.06975703062244255
s02e13b,2,Logic,0.39892870919057577,0.23043695299802341,-0.3318832110315403,0.23363607072082115
s02e13b,2,Identity,1.1636652423645337,1.297727164374372,0.011489335818469532,0.6102794104370589
s02e14a,2,Language,0.8317503606581649,-0.8303041896243737,-1.100119405032971,0.3333522924724576
s02e14a,2,Logic,0.7566975551968282,0.832265394211896,-0.8656841287455179,0.3718837700762216
s02e14a,2,Identity,-0.09765334559563102,-0.13325012292422292,0.8292634579828817,0.3737395980852785
s02e14b,2,Language,-0.3550574206517086,-0.21689921937033618,0.1465443155211571,0.029096211831855224
s02e14b,2,Logic,-0.2836000870780817,0.6764725677612614,-0.11431905964437765,0.23864554169872648
s02e14b,2,Identity,-0.6311836863245778,-0.1898268903940749,0.7200130159564179,0.3018049065815348
s02e15a,2,Language,0.662509673891959,0.024121485973192525,0.11924240507363326,0.4002189950150579
s02e15a,2,Logic,0.11741482937885954,0.9961522446934773,0.40249473349049264,0.14641872682594928
s02e15b,2,Language,-0.1288825527849129,0.22841547699161321,0.2630582683449159,-0.07813261237714429
s02e15b,2,Logic,0.02264105250605189,0.3882120106749468,0.31349662575681514,0.2710794147468656
s02e16a,2,Language,0.6892134039970662,0.6825795380521392,-0.932377284500874,0.32897313212087487
s02e16a,2,Logic,0.034798428343548696,0.31865949027123697,-0.467362133553969,0.05996706502413165
s02e16b,2,Language,0.1484717354870588,-0.11980825489485003,-0.2969531224612034,0.13055438034046354
s02e16b,2,Logic,0.24111086326893222,0.520446597758379,-0.33211050873316433,0.3997727247072286
s02e16b,2,Identity,0.6826284280739537,1.2634187878562886,-0.3157954443777457,0.42766774035798716
s02e17a,2,Language,0.3706937844723831,1.0526241665164062,-0.9376264732751416,0.09754909424484885
s02e17a,2,Logic,0.5073915596054692,0.8282501441350716,-0.33035901625089525,0.42426771689969145
s02e17a,2,Identity,0.5246024290684453,1.084424615735926,-0.31919676629935007,0.3919486024845368
s02e17b,2,Language,0.2920755688118088,-0.3309241266971332,0.0012729762472612344,0.3961131760689035
s02e17b,2,Logic,-0.017534769205024225,-0.026846425638568094,-0.8970586671654863,0.5409772811775164
s02e18a,2,Language,-0.5262184132602528,0.2884158133774306,-0.7562921593584804,0.02785273994691806
