episode,season,measure,region,tier,beta
s01e05b,1,prob,ventral_str,full,-0.21304354321545244
s01e05b,1,humor,rTPJ,some,0.46656383154628367
s01e05b,1,humor,rTPJ,full,0.03394217853917626
s01e05b,1,humor,visual_cortex,some,0.4010846256686511
s01e05b,1,humor,visual_cortex,full,0.13389583342796696
s01e05b,1,humor,auditory_cortex,some,-0.07928096707001882
s01e05b,1,humor,auditory_cortex,full,0.021197402460816295
s01e05b,1,humor,dorsal_str,some,0.047310154034810814
s01e05b,1,humor,dorsal_str,full,-0.10697952863204585
s01e05b,1,humor,ventral_str,some,-0.12196214018611484
s01e05b,1,humor,ventral_str,full,-0.15381510153542824
s01e06a,1,rms,rTPJ,some,-0.2972745866017033
s01e06a,1,rms,rTPJ,full,-0.3167303435438249
s01e06a,1,rms,visual_cortex,some,-0.4676305008804813
s01e06a,1,rms,visual_cortex,full,-1.3098553961306467
s01e06a,1,rms,auditory_cortex,some,-0.07068942758699381
s01e06a,1,rms,auditory_cortex,full,0.15087185278639087
s01e06a,1,rms,dorsal_str,some,-0.3937267522781744
s01e06a,1,rms,dorsal_str,full,0.24127091372825707
s01e06a,1,rms,ventral_str,some,-0.07500674774363043
s01e06a,1,rms,ventral_str,full,0.0017047494203574348
s01e06a,1,prob,rTPJ,some,-0.6206768461434811
s01e06a,1,prob,rTPJ,full,0.07864820596488725
s01e06a,1,prob,visual_cortex,some,-0.7035298054788197
s01e06a,1,prob,visual_cortex,full,-0.519003549605923
s01e06a,1,prob,auditory_cortex,some,0.3146148697818397
s01e06a,1,prob,auditory_cortex,full,-0.44056360383020576
s01e06a,1,prob,dorsal_str,some,-0.22654982723009565
s01e06a,1,prob,dorsal_str,full,-0.3423268740866233
s01e06a,1,prob,ventral_str,some,-0.014137859782269451
s01e06a,1,prob,ventral_str,full,-0.11703764753062987
s01e06a,1,humor,rTPJ,some,-0.3351547987199874
s01e06a,1,humor,rTPJ,full,-0.2904628881161222
s01e06a,1,humor,visual_cortex,some,-0.1567379385382711
s01e06a,1,humor,visual_cortex,full,-0.7577921856803792
s01e06a,1,humor,auditory_cortex,some,0.47230620469269624
s01e06a,1,humor,auditory_cortex,full,-0.18173600384959926
s01e06a,1,humor,dorsal_str,some,-0.2494808849764711
s01e06a,1,humor,dorsal_str,full,-0.2885179564201935
s01e06a,1,humor,ventral_str,some,-0.08503283187173888
s01e06a,1,humor,ventral_str,full,-0.05406380180900398
s01e06b,1,rms,rTPJ,some,0.04144798069557616
s01e06b,1,rms,rTPJ,full,0.05013342572579699
s01e06b,1,rms,visual_cortex,some,-0.32189074577084437
s01e06b,1,rms,visual_cortex,full,0.008001772954419784
s01e06b,1,rms,auditory_cortex,some,-0.46244735176802987
s01e06b,1,rms,auditory_cortex,full,0.7067693111038589
s01e06b,1,rms,dorsal_str,some,-0.09514431813587251
s01e06b,1,rms,dorsal_str,full,0.4947133922797933
