[05:40:28] === voxelwise GLM run start ===
[05:40:28] First-level: 278 episodes × up to 4 subjects
[05:40:28] Building brain mask from reference BOLD ...
[05:40:41]   mask saved: 223637 voxels
[08:05:44]   sub-03 s02e14a: beta saved (223637 vox, 474 TRs)
[08:06:03]   sub-05 s02e14a: beta saved (223637 vox, 474 TRs)
[08:06:32]   sub-01 s02e14b: beta saved (223637 vox, 474 TRs)
[08:06:50]   sub-02 s02e14b: beta saved (223637 vox, 474 TRs)
[08:07:09]   sub-03 s02e14b: beta saved (223637 vox, 474 TRs)
[08:07:29]   sub-05 s02e14b: beta saved (223637 vox, 474 TRs)
[08:07:57]   sub-01 s02e15a: beta saved (223637 vox, 466 TRs)
[08:08:15]   sub-02 s02e15a: beta saved (223637 vox, 466 TRs)
[08:08:35]   sub-03 s02e15a: beta saved (223637 vox, 466 TRs)
[08:26:20]   sub-05 s02e15a: beta saved (223637 vox, 466 TRs)
[08:26:48]   sub-01 s02e15b: beta saved (223637 vox, 466 TRs)
[08:43:39]   sub-02 s02e15b: beta saved (223637 vox, 466 TRs)
[08:43:58]   sub-03 s02e15b: beta saved (223637 vox, 466 TRs)
[09:01:04]   sub-05 s02e15b: beta saved (223637 vox, 466 TRs)
[09:01:35]   sub-01 s02e16a: beta saved (223637 vox, 478 TRs)
[09:01:53]   sub-02 s02e16a: beta saved (223637 vox, 478 TRs)
[09:17:17]   sub-03 s02e16a: beta saved (223637 vox, 478 TRs)
[09:17:37]   sub-05 s02e16a: beta saved (223637 vox, 478 TRs)
[09:18:06]   sub-01 s02e16b: beta saved (223637 vox, 478 TRs)
[09:18:24]   sub-02 s02e16b: beta saved (223637 vox, 478 TRs)
[09:18:43]   sub-03 s02e16b: beta saved (223637 vox, 478 TRs)
[09:19:02]   sub-05 s02e16b: beta saved (223637 vox, 478 TRs)
[09:19:32]   sub-01 s02e17a: beta saved (223637 vox, 489 TRs)
[09:19:52]   sub-02 s02e17a: beta saved (223637 vox, 489 TRs)
[09:20:12]   sub-03 s02e17a: beta saved (223637 vox, 489 TRs)
[09:20:33]   sub-05 s02e17a: beta saved (223637 vox, 489 TRs)
[09:21:01]   sub-01 s02e17b: beta saved (223637 vox, 489 TRs)
[09:21:20]   sub-02 s02e17b: beta saved (223637 vox, 489 TRs)
[09:21:40]   sub-03 s02e17b: beta saved (223637 vox, 489 TRs)
[09:21:59]   sub-05 s02e17b: beta saved (223637 vox, 489 TRs)
[09:22:25]   sub-01 s02e18a: beta saved (223637 vox, 460 TRs)
[09:22:42]   sub-02 s02e18a: beta saved (223637 vox, 460 TRs)
[09:23:00]   sub-03 s02e18a: beta saved (223637 vox, 460 TRs)
[09:23:18]   sub-05 s02e18a: beta saved (223637 vox, 460 TRs)
[09:23:44]   sub-01 s02e18b: beta saved (223637 vox, 460 TRs)
[09:24:01]   sub-02 s02e18b: beta saved (223637 vox, 460 TRs)
[09:24:20]   sub-03 s02e18b: beta saved (223637 vox, 460 TRs)
[09:24:38]   sub-05 s02e18b: beta saved (223637 vox, 460 TRs)
[09:25:05]   sub-01 s02e19a: beta saved (223637 vox, 478 TRs)
[09:25:23]   sub-02 s02e19a: beta saved (223637 vox, 478 TRs)
[09:25:42]   sub-03 s02e19a: beta saved (223637 vox, 478 TRs)
[09:26:01]   sub-05 s02e19a: beta saved (223637 vox, 478 TRs)
[09:26:29]   sub-01 s02e19b: beta saved (223637 vox, 478 TRs)
[09:26:47]   sub-02 s02e19b: beta saved (223637 vox, 478 TRs)
[09:27:06]   sub-03 s02e19b: beta saved (223637 vox, 478 TRs)
[09:27:25]   sub-05 s02e19b: beta saved (223637 vox, 478 TRs)
[09:27:50]   sub-01 s02e20a: beta saved (223637 vox, 449 TRs)
[09:28:07]   sub-02 s02e20a: beta saved (223637 vox, 449 TRs)
[09:28:25]   sub-03 s02e20a: beta saved (223637 vox, 449 TRs)
[09:28:42]   sub-05 s02e20a: beta saved (223637 vox, 449 TRs)
[09:29:08]   sub-01 s02e20b: beta saved (223637 vox, 449 TRs)
[09:29:25]   sub-02 s02e20b: beta saved (223637 vox, 449 TRs)
[09:29:43]   sub-03 s02e20b: beta saved (223637 vox, 449 TRs)
[09:30:00]   sub-05 s02e20b: beta saved (223637 vox, 449 TRs)
[09:30:28]   sub-01 s02e21a: beta saved (223637 vox, 470 TRs)
[09:30:46]   sub-02 s02e21a: beta saved (223637 vox, 470 TRs)
[09:31:04]   sub-03 s02e21a: beta saved (223637 vox, 470 TRs)
[09:31:23]   sub-05 s02e21a: beta saved (223637 vox, 470 TRs)
[09:31:50]   sub-01 s02e21b: beta saved (223637 vox, 470 TRs)
[09:32:08]   sub-02 s02e21b: beta saved (223637 vox, 470 TRs)
[09:32:26]   sub-03 s02e21b: beta saved (223637 vox, 470 TRs)
[09:32:45]   sub-05 s02e21b: beta saved (223637 vox, 470 TRs)
[09:33:10]   sub-01 s02e22a: beta saved (223637 vox, 453 TRs)
[09:33:27]   sub-02 s02e22a: beta saved (223637 vox, 453 TRs)
[09:33:44]   sub-03 s02e22a: beta saved (223637 vox, 453 TRs)
[09:34:02]   sub-05 s02e22a: beta saved (223637 vox, 453 TRs)
[09:34:28]   sub-01 s02e22b: beta saved (223637 vox, 453 TRs)
[09:34:45]   sub-02 s02e22b: beta saved (223637 vox, 453 TRs)
[09:35:03]   sub-03 s02e22b: beta saved (223637 vox, 453 TRs)
[09:35:21]   sub-05 s02e22b: beta saved (223637 vox, 453 TRs)
[09:35:46]   sub-01 s02e23a: beta saved (223637 vox, 456 TRs)
