episode,season,n_trs,n_rois,excluded,sub-01_valid_trs,sub-01_status,sub-02_valid_trs,sub-02_status,sub-03_valid_trs,sub-03_status,sub-05_valid_trs,sub-05_status
s04e15a,s04,444,1032,False,444,full,444,full,444,full,444,full
s04e15b,s04,444,1032,False,444,full,444,full,444,full,444,full
s04e16a,s04,487,1032,False,487,full,487,full,487,full,487,full
s04e16b,s04,487,1032,False,0,missing,487,full,487,full,487,full
s04e17a,s04,478,1032,False,478,full,478,full,478,full,478,full
s04e17b,s04,478,1032,False,478,full,478,full,478,full,478,full
s04e18a,s04,450,1032,False,450,full,450,full,450,full,450,full
s04e18b,s04,450,1032,False,450,full,450,full,450,full,450,full
s04e19a,s04,437,1032,False,437,full,437,full,437,full,437,full
s04e19b,s04,437,1032,False,437,full,437,full,437,full,437,full
s04e20a,s04,447,1032,False,447,full,447,full,447,full,447,full
s04e20b,s04,447,1032,False,447,full,447,full,447,full,447,full
s04e21a,s04,448,1032,False,448,full,448,full,448,full,448,full
s04e21b,s04,448,1032,False,448,full,448,full,448,full,448,full
s04e22a,s04,459,1032,False,459,full,459,full,459,full,459,full
s04e22b,s04,459,1032,False,459,full,459,full,459,full,459,full
s04e23a,s04,505,1032,False,505,full,505,full,505,full,505,full
s04e23b,s04,504,1032,False,504,full,504,full,504,full,504,full
s04e23c,s04,504,1032,False,504,full,504,full,504,full,504,full
s04e23d,s04,504,1032,False,504,full,504,full,504,full,504,full
s05e01a,s05,439,1032,False,439,full,439,full,439,full,439,full
s05e01b,s05,474,1032,False,474,full,474,full,474,full,474,full
s05e02a,s05,495,1032,False,495,full,495,full,495,full,495,full
s05e02b,s05,531,1032,False,531,full,531,full,531,full,531,full
s05e03a,s05,444,1032,False,444,full,444,full,444,full,444,full
s05e03b,s05,474,1032,False,474,full,474,full,474,full,474,full
s05e04a,s05,488,1032,False,488,full,488,full,488,full,488,full
s05e04b,s05,524,1032,False,524,full,524,full,524,full,524,full
s05e05a,s05,486,1032,False,486,full,486,full,486,full,486,full
s05e05b,s05,521,1032,False,521,full,521,full,521,full,521,full
s05e06a,s05,459,1032,False,459,full,459,full,459,full,459,full
s05e06b,s05,493,1032,False,493,full,493,full,493,full,493,full
s05e07a,s05,459,1032,False,459,full,459,full,459,full,459,full
s05e07b,s05,493,1032,False,493,full,493,full,493,full,493,full
s05e08a,s05,446,1032,False,446,full,446,full,446,full,446,full
s05e08b,s05,480,1032,False,480,full,480,full,480,full,480,full
s05e09a,s05,456,1032,False,456,full,456,full,456,full,456,full
s05e09b,s05,490,1032,False,490,full,490,full,490,full,490,full
s05e10a,s05,450,1032,False,450,full,450,full,450,full,450,full
s05e10b,s05,484,1032,False,484,full,484,full,484,full,484,full
s05e11a,s05,476,1032,False,476,full,476,full,476,full,476,full
s05e11b,s05,511,1032,False,511,full,0,missing,511,full,511,full
s05e12a,s05,445,1032,False,445,full,445,full,445,full,445,full
s05e12b,s05,480,1032,False,480,full,480,full,480,full,480,full
s05e13a,s05,460,1032,False,460,full,460,full,460,full,460,full
s05e13b,s05,494,1032,False,494,full,494,full,494,full,494,full
s05e14a,s05,486,1032,False,486,full,486,full,486,full,486,full
s05e14b,s05,520,1032,False,520,full,520,full,520,full,520,full
s05e15a,s05,443,1032,False,443,full,443,full,443,full,443,full
s05e15b,s05,477,1032,False,477,full,477,full,477,full,477,full
s05e16a,s05,485,1032,False,485,full,485,full,485,full,485,full
s05e16b,s05,519,1032,False,519,full,519,full,519,full,519,full
s05e17a,s05,452,1032,False,452,full,452,full,452,full,452,full
s05e17b,s05,486,1032,False,486,full,486,full,486,full,486,full
s05e18a,s05,501,1032,False,501,full,501,full,501,full,501,full
s05e18b,s05,535,1032,False,535,full,535,full,535,full,535,full
s05e19a,s05,446,1032,False,446,full,446,full,446,full,446,full
s05e19b,s05,480,1032,False,480,full,480,full,480,full,480,full
s05e20a,s05,456,1032,True,456,full,456,full,443,full,456,full
s05e20b,s05,490,1032,True,490,full,490,full,490,full,490,full
s05e21a,s05,444,1032,False,444,full,444,full,444,full,444,full
s05e21b,s05,478,1032,False,478,full,478,full,478,full,478,full
s05e22a,s05,450,1032,False,450,full,450,full,450,full,450,full
s05e22b,s05,484,1032,False,0,missing,484,full,484,full,484,full
s05e23a,s05,454,1032,False,454,full,454,full,454,full,454,full
s05e23b,s05,458,1032,False,458,full,458,full,458,full,458,full
s05e23c,s05,458,1032,False,458,full,458,full,458,full,458,full
s05e23d,s05,488,1032,False,488,full,488,full,488,full,488,full
s06e01a,s06,465,1032,False,465,full,465,full,465,full,465,full
s06e01b,s06,499,1032,False,499,full,499,full,499,full,499,full
s06e02a,s06,453,1032,False,453,full,453,full,453,full,453,full
s06e02b,s06,487,1032,False,487,full,487,full,487,full,487,full
s06e03a,s06,439,1032,True,439,full,439,full,0,missing,439,full
s06e03b,s06,473,1032,True,473,full,473,full,473,full,473,full
s06e04a,s06,439,1032,False,439,full,439,full,439,full,439,full
s06e04b,s06,474,1032,False,474,full,474,full,474,full,474,full
s06e05a,s06,452,1032,False,452,full,452,full,452,full,452,full
s06e05b,s06,486,1032,False,486,full,486,full,486,full,486,full
s06e06a,s06,443,1032,False,443,full,443,full,443,full,443,full
s06e06b,s06,478,1032,False,478,full,478,full,478,full,478,full
s06e07a,s06,445,1032,False,445,full,445,full,445,full,445,full
s06e07b,s06,479,1032,False,479,full,479,full,479,full,0,missing
s06e08a,s06,438,1032,False,438,full,438,full,438,full,438,full
s06e08b,s06,472,1032,False,472,full,472,full,472,full,472,full
s06e09a,s06,504,1032,False,504,full,504,full,504,full,504,full
s06e09b,s06,537,1032,False,537,full,537,full,537,full,537,full
s06e10a,s06,466,1032,False,466,full,466,full,466,full,466,full
s06e10b,s06,500,1032,False,500,full,500,full,500,full,500,full
s06e11a,s06,450,1032,False,450,full,450,full,450,full,450,full
s06e11b,s06,484,1032,False,484,full,484,full,484,full,484,full
